ServiceType,AvgServiceDurationMins,DayOfWeek,HourOfDay,QueueLengthAtJoin,StaffOnDuty,ActualWaitMinutes,IsNoShow
Beard Trim,20,4,15,0,2,9.5,0
Beard Trim,20,3,12,0,2,10.5,0
Buzz Cut,15,5,10,1,3,11.3,0
Beard Trim,20,6,18,1,3,15.5,0
Haircut,30,6,18,5,3,61.3,0
Haircut,30,2,14,1,2,32.3,0
Haircut + Beard,45,5,17,1,3,23.2,0
Haircut,30,4,12,0,2,12.3,0
Haircut + Beard,45,1,16,3,3,70.6,0
Beard Trim,20,0,16,2,3,16.4,0
Haircut,30,2,10,1,2,29.3,0
Haircut + Beard,45,4,11,1,2,45.7,0
Haircut,30,3,9,0,2,14.5,0
Buzz Cut,15,6,14,1,3,11.3,0
Haircut,30,6,14,2,3,36.6,0
Haircut + Beard,45,5,14,2,3,46.1,0
Haircut + Beard,45,6,14,1,3,27.3,0
Beard Trim,20,6,10,0,3,7.3,0
Beard Trim,20,3,16,1,3,15.4,0
Haircut,30,5,18,2,3,31.8,0
Buzz Cut,15,1,9,0,2,7.4,0
Buzz Cut,15,5,16,4,3,23.4,0
Buzz Cut,15,1,11,1,2,14.7,0
Haircut,30,4,9,1,2,29.8,1
Buzz Cut,15,0,16,2,3,15.9,0
Haircut,30,4,18,2,3,29.1,0
Haircut,30,0,12,2,2,45.1,0
Beard Trim,20,6,15,5,3,41.4,0
Beard Trim,20,5,16,0,3,6.8,0
Beard Trim,20,5,10,1,3,14.6,0
Haircut,30,4,17,3,3,39.4,0
Haircut,30,4,18,3,3,42.7,0
Haircut,30,4,10,0,2,12.8,0
Haircut,30,6,9,2,3,32.4,0
Haircut,30,3,9,0,2,16.0,0
Haircut,30,1,18,1,3,20.4,0
Buzz Cut,15,4,14,3,2,27.4,0
Buzz Cut,15,6,13,5,3,24.9,0
Beard Trim,20,2,11,1,2,19.3,0
Haircut,30,6,18,0,3,10.6,0
Haircut,30,6,9,0,3,9.9,0
Haircut,30,1,16,3,3,41.1,0
Buzz Cut,15,4,13,1,2,15.7,0
Beard Trim,20,5,16,3,3,28.1,0
Buzz Cut,15,1,11,0,2,6.6,0
Haircut + Beard,45,3,17,1,3,29.8,0
Haircut,30,5,15,1,3,18.5,0
Haircut,30,5,13,1,3,21.1,0
Haircut,30,3,15,0,2,12.9,0
Haircut,30,6,13,3,3,34.0,0
Haircut,30,2,17,6,3,63.6,1
Haircut,30,3,11,3,2,58.8,0
Haircut,30,6,11,2,3,35.0,0
Haircut,30,6,9,6,3,63.4,0
Buzz Cut,15,5,13,5,3,30.0,0
Haircut,30,5,12,4,3,55.7,0
Haircut,30,5,15,2,3,28.0,0
Haircut,30,6,12,0,3,11.8,0
Haircut,30,6,9,8,3,95.9,1
Haircut + Beard,45,6,15,1,3,27.9,0
Buzz Cut,15,5,14,2,3,14.3,0
Beard Trim,20,2,18,1,3,14.0,0
Haircut + Beard,45,5,14,4,3,76.4,0
Beard Trim,20,5,18,2,3,21.3,0
Haircut,30,5,14,3,3,41.9,0
Haircut,30,2,14,5,2,88.0,0
Beard Trim,20,5,15,2,3,19.6,0
Haircut,30,5,11,1,3,21.0,0
Haircut,30,0,13,1,2,28.2,0
Haircut,30,4,13,0,2,17.9,0
Haircut,30,5,15,0,3,9.8,0
Beard Trim,20,6,17,4,3,28.3,0
Haircut,30,2,16,0,3,7.9,0
Haircut,30,2,14,4,2,66.8,0
Haircut,30,1,13,0,2,13.5,0
Haircut,30,1,15,2,2,45.5,0
Buzz Cut,15,6,13,2,3,16.3,0
Beard Trim,20,6,13,4,3,31.5,1
Haircut + Beard,45,6,14,2,3,44.5,0
Haircut + Beard,45,0,10,1,2,44.0,0
Haircut,30,4,17,0,3,8.6,0
Haircut,30,2,18,1,3,22.9,0
Haircut,30,1,16,0,3,10.2,0
Haircut,30,6,17,4,3,50.8,0
Haircut + Beard,45,3,17,2,3,47.8,0
Haircut,30,5,16,2,3,32.8,0
Haircut + Beard,45,2,16,0,3,16.1,0
Haircut,30,0,11,3,2,60.5,0
Haircut,30,6,10,3,3,28.9,0
Haircut,30,5,11,0,3,7.6,0
Haircut,30,1,13,5,2,77.2,0
Haircut,30,4,16,0,3,8.9,0
Buzz Cut,15,5,9,2,3,12.8,0
Beard Trim,20,1,15,1,2,17.1,0
Haircut,30,3,16,1,3,22.6,0
Beard Trim,20,1,13,0,2,9.6,0
Haircut + Beard,45,3,16,0,3,15.2,0
Beard Trim,20,6,15,0,3,7.5,0
Haircut,30,6,10,8,3,78.9,0
Haircut + Beard,45,5,14,2,3,46.5,0
Haircut,30,6,9,2,3,33.1,0
Buzz Cut,15,1,12,1,2,12.7,0
Beard Trim,20,1,12,3,2,42.3,0
Buzz Cut,15,2,17,1,3,9.9,0
Haircut,30,1,17,0,3,9.3,0
Buzz Cut,15,4,16,0,3,4.6,0
Buzz Cut,15,3,17,3,3,22.6,0
Haircut,30,6,16,2,3,28.7,0
Haircut,30,5,17,4,3,41.5,0
Buzz Cut,15,5,12,5,3,23.8,0
Haircut,30,2,10,1,2,29.2,0
Haircut,30,2,9,0,2,14.5,0
Buzz Cut,15,4,15,0,2,8.4,0
Beard Trim,20,3,18,1,3,13.3,0
Haircut,30,3,9,2,2,43.8,0
Haircut,30,6,15,2,3,26.7,0
Haircut + Beard,45,0,12,4,2,120.0,0
Haircut,30,5,13,0,3,10.6,0
Haircut,30,6,9,1,3,20.2,0
Buzz Cut,15,5,18,1,3,10.7,0
Buzz Cut,15,3,9,0,2,9.1,0
Haircut,30,1,16,0,3,10.1,0
Haircut,30,4,17,1,3,20.6,0
Buzz Cut,15,0,17,3,3,24.2,0
Haircut,30,4,18,4,3,39.0,0
Buzz Cut,15,1,11,0,2,7.3,0
Buzz Cut,15,2,18,1,3,9.5,0
Haircut,30,3,16,0,3,10.5,0
Buzz Cut,15,0,17,0,3,4.2,0
Beard Trim,20,5,14,2,3,20.3,0
Buzz Cut,15,5,14,0,3,4.8,0
Beard Trim,20,5,9,3,3,23.6,0
Buzz Cut,15,2,9,0,2,7.2,0
Haircut,30,5,18,1,3,16.1,0
Buzz Cut,15,3,18,1,3,10.5,0
Haircut,30,5,12,3,3,35.6,0
Beard Trim,20,0,10,1,2,21.8,0
Haircut + Beard,45,3,15,0,2,22.2,0
Haircut,30,4,9,0,2,15.2,0
Haircut,30,6,15,4,3,45.5,0
Haircut,30,5,17,5,3,53.8,0
Buzz Cut,15,5,15,3,3,17.5,0
Beard Trim,20,4,9,1,2,17.1,0
Buzz Cut,15,0,14,1,2,15.3,0
Haircut,30,6,9,3,3,43.8,0
Haircut,30,3,18,2,3,28.1,0
Haircut,30,0,15,0,2,14.3,0
Beard Trim,20,2,12,0,2,9.6,0
Haircut,30,5,16,3,3,44.4,0
Haircut,30,5,14,0,3,9.5,0
Beard Trim,20,3,13,3,2,33.6,0
Buzz Cut,15,0,15,0,2,7.4,0
Haircut,30,2,16,0,3,10.2,0
Haircut,30,1,15,1,2,30.9,0
Beard Trim,20,6,11,0,3,6.5,0
Beard Trim,20,6,12,2,3,14.2,0
Buzz Cut,15,6,18,1,3,10.1,0
Haircut,30,6,10,0,3,8.5,0
Haircut + Beard,45,6,11,1,3,31.7,0
Haircut,30,1,17,0,3,12.5,0
Haircut,30,5,16,5,3,67.0,0
Beard Trim,20,6,15,3,3,27.9,0
Buzz Cut,15,0,12,1,2,13.2,0
Haircut,30,0,18,0,3,11.7,0
Beard Trim,20,3,11,0,2,10.6,0
Beard Trim,20,6,10,5,3,32.1,0
Buzz Cut,15,6,12,0,3,5.7,0
Haircut + Beard,45,3,10,1,2,44.7,0
Haircut,30,6,12,3,3,32.1,0
Haircut,30,3,10,0,2,15.5,0
Haircut,30,0,9,1,2,31.6,0
Beard Trim,20,6,18,1,3,14.1,1
Beard Trim,20,5,14,0,3,5.6,0
Haircut + Beard,45,5,14,3,3,57.7,0
Buzz Cut,15,3,18,3,3,18.5,0
Haircut,30,0,17,1,3,19.5,0
Buzz Cut,15,4,16,0,3,4.6,0
Haircut,30,4,9,1,2,28.9,0
Haircut,30,6,13,1,3,18.8,0
Buzz Cut,15,6,15,3,3,19.0,0
Haircut,30,0,15,1,2,30.9,0
Haircut,30,2,13,3,2,56.5,0
Haircut + Beard,45,1,11,0,2,21.3,0
Haircut,30,5,16,4,3,52.5,0
Haircut,30,0,17,0,3,10.4,0
Haircut,30,6,12,4,3,55.3,0
Haircut,30,5,9,0,3,9.8,0
Beard Trim,20,6,11,1,3,13.3,0
Haircut,30,1,11,4,2,80.4,0
Beard Trim,20,4,15,2,2,33.6,0
Haircut + Beard,45,2,13,2,2,58.3,0
Haircut,30,0,17,1,3,15.6,0
Haircut,30,3,14,2,2,45.9,0
Haircut,30,2,15,2,2,41.7,0
Haircut + Beard,45,4,10,1,2,46.4,0
Beard Trim,20,2,12,0,2,7.5,0
Haircut,30,1,17,0,3,9.5,0
Buzz Cut,15,3,16,1,3,10.3,1
Haircut,30,0,14,0,2,13.5,0
Haircut + Beard,45,5,10,0,3,16.8,0
Beard Trim,20,6,17,1,3,12.3,0
Haircut + Beard,45,4,18,1,3,34.7,0
Haircut,30,1,13,4,2,86.6,0
Haircut + Beard,45,6,18,5,3,80.7,0
Buzz Cut,15,1,13,0,2,6.9,0
Haircut,30,5,11,4,3,54.4,0
Haircut + Beard,45,5,11,2,3,45.3,0
Haircut,30,5,12,3,3,35.3,0
Buzz Cut,15,6,17,1,3,11.6,0
Haircut,30,6,11,2,3,29.6,0
Haircut + Beard,45,3,14,6,2,198.2,0
Haircut + Beard,45,6,10,1,3,32.4,0
Haircut,30,4,18,3,3,34.2,0
Haircut + Beard,45,3,12,0,2,18.8,0
Beard Trim,20,6,14,3,3,31.3,0
Haircut,30,1,11,1,2,32.5,1
Haircut,30,5,12,2,3,33.0,0
Haircut,30,4,18,1,3,18.0,0
Haircut,30,2,10,3,2,60.7,0
Haircut + Beard,45,3,10,0,2,21.7,0
Haircut,30,5,17,2,3,33.6,1
Buzz Cut,15,2,14,2,2,18.4,0
Haircut,30,5,18,6,3,77.3,0
Haircut,30,0,17,1,3,16.1,0
Haircut + Beard,45,2,10,1,2,42.7,0
Haircut + Beard,45,3,18,0,3,16.0,0
Haircut + Beard,45,6,11,2,3,46.3,0
Buzz Cut,15,1,17,2,3,13.1,0
Haircut,30,0,14,1,2,28.8,0
Haircut,30,4,16,0,3,10.2,0
Haircut + Beard,45,1,18,1,3,29.1,0
Haircut,30,3,13,0,2,14.4,0
Buzz Cut,15,6,12,1,3,10.0,0
Haircut,30,0,18,4,3,52.4,0
Haircut,30,4,9,0,2,15.4,0
Haircut,30,3,16,0,3,10.0,0
Haircut + Beard,45,5,9,3,3,69.8,0
Haircut,30,5,15,1,3,19.2,0
Haircut + Beard,45,3,11,0,2,21.2,0
Haircut,30,4,18,0,3,10.0,0
Haircut,30,5,16,1,3,22.8,0
Haircut + Beard,45,5,18,1,3,30.9,0
Haircut + Beard,45,2,16,1,3,29.7,0
Buzz Cut,15,0,12,0,2,7.1,0
Haircut,30,4,17,1,3,20.2,0
Haircut + Beard,45,2,16,1,3,26.4,0
Beard Trim,20,0,12,0,2,9.7,0
Haircut + Beard,45,6,13,4,3,82.3,0
Haircut,30,4,11,0,2,11.4,0
Buzz Cut,15,5,16,3,3,20.7,0
Haircut,30,6,9,0,3,9.0,0
Buzz Cut,15,1,17,2,3,12.8,0
Buzz Cut,15,5,17,0,3,5.3,0
Haircut,30,6,13,0,3,10.1,0
Buzz Cut,15,1,13,2,2,19.9,0
Haircut,30,6,17,2,3,32.6,0
Buzz Cut,15,5,16,4,3,25.0,0
Haircut,30,5,17,0,3,8.2,0
Haircut,30,0,12,0,2,13.4,0
Haircut,30,3,9,1,2,27.8,0
Haircut,30,5,14,1,3,19.9,0
Haircut,30,5,11,7,3,72.3,0
Beard Trim,20,5,12,3,3,25.9,0
Haircut,30,6,14,4,3,50.3,0
Haircut + Beard,45,6,11,1,3,25.1,0
Haircut,30,6,16,0,3,9.4,0
Beard Trim,20,6,16,0,3,7.1,0
Haircut,30,4,18,2,3,29.7,0
Haircut,30,4,18,1,3,18.1,0
Beard Trim,20,4,17,3,3,23.4,0
Haircut,30,4,17,1,3,20.1,1
Haircut,30,2,13,0,2,14.1,0
Buzz Cut,15,3,17,0,3,5.1,0
Beard Trim,20,2,13,0,2,9.8,0
Beard Trim,20,1,9,1,2,22.2,0
Beard Trim,20,3,11,3,2,48.6,0
Buzz Cut,15,2,18,1,3,10.6,0
Haircut,30,0,18,2,3,31.1,0
Haircut,30,5,12,2,3,33.9,0
Beard Trim,20,0,11,2,2,30.8,1
Haircut,30,1,15,1,2,25.0,0
Beard Trim,20,0,17,2,3,17.8,0
Haircut + Beard,45,1,15,1,2,43.7,0
Haircut + Beard,45,6,9,0,3,15.7,0
Haircut,30,2,14,1,2,33.5,0
Buzz Cut,15,6,18,0,3,6.0,0
Buzz Cut,15,3,11,0,2,9.2,0
Haircut,30,5,15,1,3,19.9,0
Haircut + Beard,45,4,17,2,3,44.6,0
Haircut,30,5,9,2,3,29.8,0
Haircut,30,3,11,0,2,14.8,0
Beard Trim,20,5,17,4,3,34.9,0
Buzz Cut,15,2,11,0,2,7.3,0
Haircut,30,5,14,3,3,42.5,0
Haircut,30,5,9,0,3,9.2,0
Beard Trim,20,5,11,3,3,25.0,0
Buzz Cut,15,5,15,2,3,15.4,0
Haircut,30,4,16,2,3,27.7,0
Haircut,30,5,15,1,3,22.4,0
Haircut,30,5,12,1,3,21.3,0
Buzz Cut,15,0,18,2,3,17.5,0
Haircut,30,6,16,2,3,30.2,0
Haircut + Beard,45,4,16,0,3,15.1,0
Haircut,30,0,11,1,2,27.8,0
Haircut,30,0,9,2,2,44.1,0
Haircut,30,5,17,2,3,30.1,0
Beard Trim,20,4,11,0,2,8.3,1
Buzz Cut,15,3,11,0,2,8.1,0
Haircut,30,6,13,3,3,41.0,0
Haircut + Beard,45,6,12,2,3,46.7,0
Beard Trim,20,3,12,2,2,31.2,1
Haircut,30,5,16,2,3,27.6,0
Haircut + Beard,45,2,17,1,3,29.8,0
Haircut + Beard,45,5,10,2,3,41.2,0
Haircut,30,0,16,4,3,56.6,0
Haircut,30,0,17,1,3,19.8,0
Buzz Cut,15,5,11,1,3,9.6,0
Haircut,30,5,11,0,3,11.2,0
Beard Trim,20,2,16,3,3,24.0,0
Beard Trim,20,1,18,2,3,22.3,0
Haircut,30,4,13,0,2,15.2,0
Haircut,30,5,10,4,3,48.1,0
Haircut,30,0,13,0,2,13.8,0
Haircut,30,1,13,0,2,16.6,0
Haircut,30,5,16,0,3,9.7,0
Beard Trim,20,6,10,1,3,13.1,0
Beard Trim,20,2,11,0,2,9.9,0
Haircut,30,6,10,2,3,32.0,0
Beard Trim,20,3,17,2,3,17.7,0
Haircut,30,5,18,2,3,30.8,0
Haircut,30,3,9,0,2,12.1,0
Haircut + Beard,45,5,9,4,3,69.6,1
Haircut,30,6,10,4,3,53.4,0
Buzz Cut,15,2,16,3,3,21.4,0
Haircut,30,6,10,0,3,10.3,1
Buzz Cut,15,5,12,0,3,5.2,0
Haircut,30,2,17,5,3,58.0,0
Haircut,30,5,14,4,3,46.0,0
Buzz Cut,15,5,13,1,3,9.5,0
Haircut,30,5,12,2,3,32.6,0
Haircut,30,6,18,0,3,10.5,0
Haircut,30,6,11,1,3,18.0,0
Buzz Cut,15,6,9,2,3,16.2,0
Beard Trim,20,5,11,0,3,6.1,0
Beard Trim,20,5,9,1,3,13.3,0
Haircut,30,6,16,2,3,34.6,0
Buzz Cut,15,4,14,0,2,7.1,0
Haircut + Beard,45,5,9,0,3,13.7,0
Haircut,30,6,12,4,3,46.1,1
Haircut,30,0,12,1,2,26.8,0
Haircut,30,5,18,5,3,62.1,0
Haircut,30,6,9,1,3,21.1,0
Buzz Cut,15,5,10,3,3,23.0,0
Haircut + Beard,45,3,17,0,3,15.3,0
Haircut,30,4,14,2,2,41.1,0
Beard Trim,20,1,18,1,3,15.1,0
Haircut,30,2,17,1,3,21.2,0
Haircut + Beard,45,5,9,0,3,13.9,0
Haircut,30,6,17,4,3,38.9,0
Haircut,30,2,18,2,3,32.9,0
Beard Trim,20,2,15,1,2,21.9,0
Beard Trim,20,1,10,0,2,9.7,0
Haircut + Beard,45,5,16,2,3,37.3,0
Buzz Cut,15,5,15,5,3,29.5,0
Haircut,30,5,13,3,3,39.2,1
Beard Trim,20,1,17,0,3,7.0,0
Haircut,30,6,15,4,3,56.7,0
Haircut,30,1,12,2,2,41.6,1
Haircut,30,5,10,0,3,9.0,0
Beard Trim,20,0,9,0,2,10.4,0
Buzz Cut,15,5,15,1,3,10.2,0
Buzz Cut,15,2,11,1,2,14.7,0
Buzz Cut,15,5,11,1,3,10.2,1
Beard Trim,20,5,14,2,3,22.1,0
Beard Trim,20,6,13,4,3,36.2,0
Beard Trim,20,3,13,0,2,9.8,0
Buzz Cut,15,3,18,1,3,10.4,0
Haircut,30,3,14,1,2,29.5,0
Beard Trim,20,1,14,0,2,10.2,0
Haircut,30,6,11,0,3,10.9,0
Haircut,30,0,9,2,2,38.8,0
Buzz Cut,15,6,12,0,3,4.7,0
Haircut,30,6,17,1,3,23.2,0
Buzz Cut,15,6,11,4,3,24.1,0
Haircut,30,6,16,0,3,10.5,0
Beard Trim,20,4,13,0,2,10.7,0
Haircut,30,1,16,0,3,10.3,0
Haircut + Beard,45,6,15,0,3,14.7,0
Haircut,30,1,15,1,2,27.3,0
Haircut,30,6,11,5,3,67.3,0
Buzz Cut,15,2,16,0,3,5.3,0
Haircut,30,5,14,1,3,17.7,0
Haircut,30,0,13,1,2,30.7,0
Buzz Cut,15,6,18,2,3,14.6,0
Beard Trim,20,2,10,0,2,8.4,0
Buzz Cut,15,5,12,0,3,4.6,0
Haircut,30,5,17,0,3,11.0,0
Beard Trim,20,4,10,1,2,21.0,0
Haircut,30,2,17,0,3,8.4,0
Haircut + Beard,45,1,16,1,3,34.6,0
Haircut,30,5,11,0,3,10.2,0
Buzz Cut,15,1,14,1,2,16.3,0
Haircut,30,5,16,3,3,41.1,0
Haircut + Beard,45,6,14,0,3,14.6,0
Haircut,30,6,11,0,3,11.4,0
Haircut + Beard,45,6,18,4,3,68.4,0
Beard Trim,20,2,14,2,2,30.3,0
Haircut,30,3,18,1,3,22.8,0
Beard Trim,20,0,9,1,2,22.6,0
Haircut,30,4,14,1,2,30.1,0
Beard Trim,20,6,15,3,3,29.6,0
Beard Trim,20,4,13,1,2,19.3,0
Buzz Cut,15,6,15,0,3,4.5,0
Buzz Cut,15,5,14,2,3,16.5,0
Haircut,30,2,12,1,2,25.4,1
Haircut + Beard,45,1,16,3,3,71.7,0
Haircut + Beard,45,2,18,4,3,82.9,0
Haircut,30,6,15,0,3,9.1,0
Buzz Cut,15,4,18,2,3,15.0,0
Buzz Cut,15,2,18,1,3,9.7,1
Haircut,30,2,10,0,2,16.4,0
Buzz Cut,15,6,15,0,3,4.2,0
Haircut,30,5,9,5,3,59.0,0
Haircut + Beard,45,5,10,0,3,16.4,0
Haircut,30,2,11,2,2,52.3,1
Haircut,30,4,10,0,2,15.9,0
Buzz Cut,15,3,11,3,2,27.5,0
Haircut,30,6,12,4,3,48.2,0
Beard Trim,20,2,17,0,3,6.3,0
Buzz Cut,15,6,18,0,3,5.3,0
Haircut,30,6,11,3,3,38.8,0
Haircut,30,5,11,4,3,48.0,0
Haircut,30,5,12,1,3,23.1,0
Haircut,30,0,18,0,3,12.1,0
Beard Trim,20,2,16,2,3,20.8,0
Beard Trim,20,5,9,5,3,41.9,0
Haircut,30,6,9,3,3,37.5,0
Buzz Cut,15,0,16,0,3,5.3,0
Haircut,30,3,15,1,2,30.5,0
Haircut,30,2,13,0,2,15.3,0
Haircut,30,4,18,5,3,68.0,0
Haircut,30,2,11,1,2,29.2,0
Haircut + Beard,45,6,18,2,3,48.7,0
Beard Trim,20,0,16,1,3,13.8,0
Buzz Cut,15,0,12,3,2,29.7,0
Buzz Cut,15,1,18,0,3,5.1,0
Haircut,30,5,18,0,3,11.5,0
Buzz Cut,15,1,12,0,2,6.0,0
Haircut + Beard,45,6,16,0,3,17.8,0
Buzz Cut,15,0,17,2,3,13.1,0
Buzz Cut,15,6,13,4,3,27.3,0
Beard Trim,20,4,17,1,3,13.6,0
Haircut + Beard,45,6,12,5,3,71.4,0
Haircut + Beard,45,5,16,5,3,93.2,1
Haircut,30,5,15,3,3,37.3,0
Haircut,30,5,15,2,3,31.3,0
Haircut,30,0,12,2,2,39.9,0
Haircut,30,5,17,2,3,26.3,0
Buzz Cut,15,2,18,0,3,5.5,0
Buzz Cut,15,6,14,3,3,20.0,0
Buzz Cut,15,6,14,2,3,15.4,0
Haircut,30,2,16,1,3,20.2,0
Haircut,30,2,10,0,2,15.3,0
Beard Trim,20,6,12,4,3,32.9,0
Buzz Cut,15,4,16,2,3,15.2,0
Haircut,30,6,14,0,3,10.2,0
Beard Trim,20,1,14,0,2,11.3,0
Haircut,30,6,12,1,3,18.8,0
Haircut,30,4,11,3,2,53.6,0
Haircut,30,2,13,0,2,15.0,0
Haircut,30,3,17,2,3,32.0,0
Haircut,30,1,10,1,2,31.4,0
Beard Trim,20,5,18,1,3,15.0,0
Haircut,30,1,14,0,2,13.0,0
Haircut + Beard,45,6,15,2,3,41.9,0
Haircut + Beard,45,4,9,0,2,19.4,0
Haircut,30,3,15,2,2,45.4,0
Beard Trim,20,6,11,2,3,16.9,0
Haircut,30,2,17,1,3,24.5,0
Haircut,30,3,18,1,3,19.5,0
Haircut + Beard,45,5,11,3,3,63.1,0
Haircut,30,6,10,5,3,53.0,0
Haircut + Beard,45,3,13,5,2,109.2,0
Beard Trim,20,4,13,0,2,9.7,0
Haircut,30,5,11,5,3,63.2,0
Haircut,30,5,17,3,3,42.0,1
Haircut,30,1,11,0,2,15.5,0
Haircut,30,4,16,2,3,28.3,0
Buzz Cut,15,2,17,2,3,14.1,0
Buzz Cut,15,1,10,1,2,16.5,0
Haircut,30,1,16,2,3,29.1,0
Haircut,30,0,17,1,3,22.5,0
Haircut,30,3,10,2,2,36.5,0
Haircut,30,0,9,1,2,26.7,0
Beard Trim,20,5,18,3,3,25.4,0
Haircut,30,3,17,4,3,53.4,0
Beard Trim,20,6,12,2,3,18.2,0
Beard Trim,20,5,14,0,3,7.3,0
Buzz Cut,15,6,16,0,3,5.1,0
Haircut + Beard,45,0,10,2,2,67.1,0
Haircut,30,1,10,1,2,31.5,1
Beard Trim,20,1,16,1,3,13.6,0
Haircut,30,2,14,0,2,16.8,0
Haircut,30,4,18,4,3,42.2,0
Beard Trim,20,0,13,0,2,9.4,0
Haircut,30,5,10,0,3,11.1,0
Haircut,30,4,15,0,2,14.3,0
Haircut,30,1,10,0,2,15.2,0
Buzz Cut,15,1,15,0,2,7.4,0
Beard Trim,20,3,11,0,2,10.9,1
Haircut,30,5,9,3,3,46.2,0
Beard Trim,20,5,13,3,3,26.0,0
Beard Trim,20,5,11,0,3,7.9,0
Haircut,30,0,16,0,3,7.9,0
Haircut,30,2,16,1,3,18.4,0
Haircut,30,0,15,0,2,14.9,1
Haircut,30,5,9,1,3,20.5,0
Haircut,30,3,14,0,2,15.8,0
Buzz Cut,15,4,12,1,2,14.3,0
Haircut,30,5,18,0,3,10.2,0
Haircut,30,6,15,1,3,22.2,0
Haircut,30,6,15,4,3,63.2,0
Haircut,30,1,16,1,3,19.6,0
Haircut,30,5,13,5,3,60.3,0
Haircut + Beard,45,1,15,0,2,21.5,0
Haircut,30,6,13,4,3,51.7,0
Beard Trim,20,5,14,2,3,18.5,0
Haircut + Beard,45,3,18,0,3,17.2,0
Haircut,30,5,17,4,3,51.0,0
Haircut,30,4,18,1,3,20.8,0
Buzz Cut,15,5,12,1,3,10.6,0
Haircut,30,0,16,0,3,11.5,0
Haircut,30,5,18,0,3,9.4,0
Beard Trim,20,2,15,0,2,8.8,0
Buzz Cut,15,5,12,2,3,15.7,0
Haircut,30,1,16,2,3,32.3,1
Haircut + Beard,45,6,11,2,3,44.3,0
Haircut + Beard,45,2,12,2,2,69.4,0
Buzz Cut,15,1,12,2,2,24.1,0
Haircut,30,6,10,0,3,10.3,0
Haircut,30,3,10,2,2,45.8,0
Haircut + Beard,45,5,17,0,3,14.0,0
Haircut,30,3,17,0,3,11.4,0
Haircut,30,3,18,2,3,35.0,0
Beard Trim,20,0,9,0,2,10.4,0
Haircut + Beard,45,2,12,0,2,20.1,0
Beard Trim,20,1,13,1,2,19.7,0
Beard Trim,20,1,11,2,2,32.3,0
Haircut,30,1,12,2,2,36.3,0
Haircut + Beard,45,6,18,5,3,84.9,0
Haircut,30,2,13,1,2,26.8,0
Haircut,30,4,16,0,3,8.0,0
Haircut,30,1,14,2,2,45.0,1
Buzz Cut,15,3,11,1,2,17.1,0
Haircut,30,6,16,3,3,41.6,0
Buzz Cut,15,6,16,1,3,8.4,0
Haircut,30,0,15,2,2,45.0,0
Haircut + Beard,45,2,10,2,2,74.9,0
Haircut + Beard,45,6,15,1,3,34.9,0
Haircut,30,6,17,3,3,44.2,0
Haircut,30,6,16,1,3,15.6,0
Haircut,30,0,10,0,2,16.1,0
Haircut + Beard,45,6,11,1,3,30.0,0
Beard Trim,20,5,14,0,3,7.7,0
Haircut,30,0,9,3,2,64.6,1
Haircut,30,0,16,0,3,10.8,0
Haircut,30,2,9,1,2,30.9,0
Buzz Cut,15,1,12,1,2,13.9,0
Haircut,30,6,17,1,3,21.4,0
Buzz Cut,15,2,18,0,3,4.8,0
Beard Trim,20,0,16,2,3,20.3,0
Beard Trim,20,2,16,1,3,12.2,0
Haircut,30,5,17,2,3,33.0,0
Beard Trim,20,5,13,2,3,23.1,0
Haircut,30,6,10,3,3,39.6,0
Buzz Cut,15,3,9,1,2,14.9,0
Haircut + Beard,45,5,14,1,3,33.2,0
Haircut,30,6,12,0,3,9.8,0
Haircut + Beard,45,6,14,1,3,27.8,0
Haircut,30,6,18,5,3,57.6,0
Buzz Cut,15,4,18,4,3,22.8,0
Haircut,30,5,11,1,3,18.0,0
Haircut,30,4,16,1,3,18.4,0
Haircut + Beard,45,4,14,0,2,17.7,0
Haircut,30,3,9,1,2,28.4,0
Haircut,30,3,11,0,2,17.5,0
Haircut,30,3,10,1,2,30.9,0
Haircut,30,4,9,0,2,16.3,0
Beard Trim,20,3,13,0,2,9.7,0
Haircut,30,4,15,3,2,58.1,0
Haircut,30,1,18,1,3,18.7,0
Haircut,30,5,18,0,3,11.0,0
Haircut,30,5,12,3,3,36.6,0
Haircut,30,2,11,0,2,14.1,0
Haircut + Beard,45,0,16,0,3,15.5,0
Haircut,30,5,14,2,3,33.4,0
Buzz Cut,15,1,10,0,2,7.8,0
Haircut,30,3,15,0,2,13.4,0
Haircut,30,0,15,2,2,39.9,0
Buzz Cut,15,0,16,1,3,8.7,0
Haircut,30,1,12,0,2,14.5,0
Haircut,30,5,15,0,3,7.8,0
Haircut,30,6,17,2,3,31.5,1
Beard Trim,20,1,15,0,2,7.2,0
Haircut,30,6,9,1,3,21.8,0
Buzz Cut,15,3,14,1,2,14.6,0
Haircut,30,5,17,1,3,21.1,0
Haircut,30,6,16,1,3,23.7,0
Haircut + Beard,45,3,15,1,2,47.6,1
Haircut,30,0,9,3,2,59.7,0
Buzz Cut,15,1,15,1,2,16.0,0
Beard Trim,20,0,9,0,2,10.4,0
Beard Trim,20,5,18,2,3,19.3,0
Haircut + Beard,45,6,13,1,3,28.5,0
Haircut,30,6,11,5,3,63.7,0
Buzz Cut,15,4,18,3,3,19.0,0
Haircut + Beard,45,2,14,1,2,45.2,0
Buzz Cut,15,4,9,2,2,24.3,0
Haircut,30,1,13,0,2,18.1,0
Haircut,30,2,17,4,3,43.5,0
